SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HDFCBANK,EQ, 09-Apr-2021,1432.8,1426.0,1432.8,1415.1,1423.5,1421.75,1422.88,14078908,200326.18,214798,6946513,49.34,98840
ICICIBANK,EQ, 09-Apr-2021,576.7,573.95,579.0,565.0,565.95,566.2,570.46,23239564,132571.92,259880,11387727,49.0,64962
BAJFINANCE,EQ, 09-Apr-2021,5029.5,5000.0,5010.0,4845.0,4878.0,4872.3,4908.86,2902646,142486.72,239654,1274214,43.9,62549
TATASTEEL,EQ, 09-Apr-2021,918.4,921.0,930.0,885.7,898.55,899.5,902.81,32179069,290516.32,362106,6358858,19.76,57408
RELIANCE,EQ, 09-Apr-2021,2005.35,1998.45,2006.35,1980.0,1983.45,1982.05,1989.08,6478482,128862.35,234390,2807275,43.33,55838
HDFC,EQ, 09-Apr-2021,2502.55,2522.0,2556.0,2492.3,2515.7,2513.9,2517.57,3234017,81418.61,97618,1998441,61.79,50312
TECHM,EQ, 09-Apr-2021,1029.0,1028.95,1056.8,1016.55,1051.0,1053.0,1040.36,6029994,62733.78,110005,3436041,56.98,35747
TCS,EQ, 09-Apr-2021,3317.35,3354.0,3354.35,3308.0,3325.0,3322.25,3327.38,2911129,96864.22,114832,1043656,35.85,34726
SUNPHARMA,EQ, 09-Apr-2021,614.25,613.0,642.0,609.5,636.0,636.75,633.99,16755446,106227.61,200773,5383519,32.13,34130
SBIN,EQ, 09-Apr-2021,355.6,354.4,364.5,351.2,352.95,353.0,357.3,46473100,166046.97,303846,9543337,20.54,34098
INFY,EQ, 09-Apr-2021,1439.85,1455.0,1455.0,1430.05,1441.0,1441.05,1441.23,6052712,87233.7,134860,2125177,35.11,30628
