SYMBOL,mean,count
HDFCBANK,85607.23529411765,17
RELIANCE,69376.29411764706,17
ICICIBANK,67174.76470588235,17
INFY,59855.41176470588,17
HDFC,52071.64705882353,17
TCS,45499.64705882353,17
AXISBANK,42870.17647058824,17
BAJFINANCE,40643.23529411765,17
SBIN,35892.05882352941,17
TATASTEEL,33522.529411764706,17
HINDUNILVR,31105.882352941175,17
HCLTECH,29730.823529411766,17
KOTAKBANK,28460.176470588234,17
WIPRO,25139.176470588234,17
MARUTI,24834.70588235294,17
ADANIPORTS,23597.5,16
TATAMOTORS,22096.647058823528,17
LODHA,21390.0,2
SAIL,21094.375,16
DRREDDY,20990.4375,16
CIPLA,20365.285714285714,14
TECHM,19942.235294117647,17
M&MFIN,19767.0,1
VEDL,19649.777777777777,9
BPCL,19049.75,8
BHARTIARTL,18896.70588235294,17
ULTRACEMCO,18744.64285714286,14
ITC,18081.4375,16
LT,17776.333333333332,15
SHREECEM,17746.0,5
SUNPHARMA,17606.166666666668,12
CADILAHC,17365.7,10
HINDALCO,17248.25,16
RBLBANK,17220.0,1
BAJAJFINSV,16716.5,12
ICICIPRULI,16210.25,4
BANKBARODA,15882.0,1
JSWSTEEL,15820.642857142857,14
APOLLOHOSP,15531.666666666666,6
INDUSINDBK,15477.083333333334,12
DABUR,15311.0,2
STAR,15283.0,1
AUROPHARMA,14962.8,5
TATAPOWER,14854.0,3
TATAELXSI,14826.0,1
ADANIENT,14733.642857142857,14
DMART,14595.0,2
GRASIM,14593.8,5
HDFCLIFE,14479.916666666666,12
ASIANPAINT,14450.266666666666,15
PAGEIND,14405.0,1
M&M,14302.642857142857,14
MPHASIS,14086.0,1
BRITANNIA,14078.272727272728,11
DIVISLAB,14070.777777777777,9
ATGL,14027.785714285714,14
TVSMOTOR,14007.5,2
JINDALSTEL,13971.75,8
CHOLAFIN,13960.25,4
NATIONALUM,13718.0,1
PIIND,13702.333333333334,3
SRTRANSFIN,13674.538461538461,13
LICHSGFIN,13645.0,1
ADANIPOWER,13644.0,3
IDFCFIRSTB,13539.6,5
IBULHSGFIN,13444.0,2
SBICARD,13247.8,5
NMDC,13132.0,1
GAIL,13053.25,4
WHIRLPOOL,12863.0,1
BAJAJ-AUTO,12744.5,2
BIOCON,12683.5,4
LAURUSLABS,12671.6,5
EICHERMOT,12601.0,5
SBILIFE,12492.714285714286,7
GLENMARK,12367.25,4
NESTLEIND,12077.57142857143,7
HEG,12058.5,2
NAUKRI,11966.0,7
LUPIN,11940.0,3
ASHOKLEY,11837.8,5
AMBUJACEM,11779.666666666666,6
IRCTC,11773.666666666666,3
VOLTAS,11762.0,1
GRAPHITE,11757.333333333334,3
LIQUIDBEES,11561.42857142857,7
ZEEL,11553.666666666666,3
CONCOR,11515.0,1
TATACHEM,11467.5,2
POWERGRID,11241.833333333334,6
BARBEQUE,11149.0,1
MOTHERSUMI,11051.333333333334,3
ONGC,11022.75,4
EMAMILTD,10952.0,1
INDIGO,10873.0,1
ATUL,10782.0,1
HEROMOTOCO,10645.6,5
DEEPAKNTR,10627.25,4
JSWENERGY,10515.0,1
TITAN,10468.5,6
LUXIND,10460.0,1
DLF,10398.0,1
DIXON,10376.25,4
ICICIGI,10304.333333333334,3
GODREJCP,10199.0,1
ADANITRANS,10168.666666666666,3
PIDILITIND,10154.5,2
COFORGE,10120.0,1
TATACOMM,10028.0,2
BANDHANBNK,10027.0,3
AUBANK,10017.2,5
ASTRAL,9989.0,1
LALPATHLAB,9858.0,1
NTPC,9758.0,2
L&TFH,9743.0,1
TATACONSUM,9564.0,2
MUTHOOTFIN,9459.0,1
HAPPSTMNDS,9396.5,2
UPL,9264.0,3
FEDERALBNK,9141.0,1
HINDCOPPER,9084.0,1
HINDPETRO,9001.0,1
PETRONET,8990.0,1
POLYCAB,8770.0,1
BHARATFORG,8538.0,1
HATHWAY,8506.0,1
SRF,8477.0,1
SUNTV,8465.0,1
GLAND,8430.0,1
RAIN,8281.0,1
BEL,8279.0,1
