SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
ICICIBANK,EQ, 19-Feb-2021,644.65,635.5,635.5,619.0,625.4,624.05,627.94,24055811,151057.09,351586,10486329,43.59,65847,20210219
RELIANCE,EQ, 19-Feb-2021,2067.7,2057.0,2104.95,2053.3,2080.0,2080.3,2088.14,10800704,225533.57,279181,3029362,28.05,63257,20210219
SBIN,EQ, 19-Feb-2021,415.2,415.0,415.0,395.0,400.6,399.55,405.06,66155518,267970.83,479710,15537879,23.49,62937,20210219
TCS,EQ, 19-Feb-2021,3057.35,3058.0,3087.15,3016.15,3078.0,3071.85,3047.73,3725028,113528.88,130797,1878814,50.44,57261,20210219
HDFCBANK,EQ, 19-Feb-2021,1554.3,1545.0,1564.2,1533.0,1543.9,1539.1,1547.93,8569754,132653.55,248392,3611013,42.14,55895,20210219
INDUSINDBK,EQ, 19-Feb-2021,1046.05,1035.0,1074.55,1027.8,1069.8,1065.9,1055.69,14557527,153682.13,217668,4656447,31.99,49157,20210219
BHARTIARTL,EQ, 19-Feb-2021,589.05,590.0,596.0,575.5,581.5,581.35,587.31,19106404,112213.01,231192,7510083,39.31,44107,20210219
AXISBANK,EQ, 19-Feb-2021,777.0,772.9,777.2,741.35,750.6,749.65,761.1,15634787,118996.16,237598,5213024,33.34,39676,20210219
INFY,EQ, 19-Feb-2021,1292.45,1296.1,1299.5,1276.8,1293.0,1291.3,1288.37,5389696,69439.25,129418,2864493,53.15,36905,20210219
TATAMOTORS,EQ, 19-Feb-2021,323.85,321.95,321.95,301.4,312.45,311.85,313.32,80274683,251515.77,516227,11456545,14.27,35895,20210219
BPCL,EQ, 19-Feb-2021,432.2,437.0,444.8,423.5,429.3,430.0,434.07,24446305,106115.02,252409,7028072,28.75,30506,20210219
ITC,EQ, 19-Feb-2021,218.85,218.85,218.9,214.0,216.5,215.95,216.9,28125203,61004.79,136326,13596630,48.34,29491,20210219
HINDUNILVR,EQ, 19-Feb-2021,2146.85,2152.9,2194.0,2150.0,2185.0,2181.1,2175.63,3364030,73188.86,141166,1347424,40.05,29314,20210219
DABUR,EQ, 19-Feb-2021,520.05,515.0,515.0,507.85,513.05,513.45,511.03,13849233,70774.07,99471,5636750,40.7,28805,20210219
PNB,EQ, 19-Feb-2021,43.8,44.25,46.35,41.2,42.35,42.05,43.98,429882183,189053.57,382470,64402143,14.98,28324,20210219
HDFC,EQ, 19-Feb-2021,2745.15,2725.0,2765.0,2714.15,2740.0,2741.3,2740.19,2275146,62343.3,118178,923508,40.59,25305,20210219
TATASTEEL,EQ, 19-Feb-2021,697.75,696.0,696.0,655.95,669.4,670.7,675.46,22392386,151252.22,234654,3391932,15.15,22911,20210219
KOTAKBANK,EQ, 19-Feb-2021,1945.45,1942.25,1969.85,1925.1,1943.25,1938.75,1946.55,2735683,53251.41,81593,1165692,42.61,22690,20210219
