SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
AXISBANK,EQ, 28-Apr-2021,699.55,708.0,712.5,688.15, 705.95,708.15,701.92,54060587,379463.48,507747,17851331,33.02,125302
HDFCBANK,EQ, 28-Apr-2021,1438.7,1436.25,1479.0,1431.0, 1475.00,1476.8,1463.19,12051970,176343.77,197146,7196647,59.71,105300
ICICIBANK,EQ, 28-Apr-2021,598.75,598.0,622.8,598.0, 619.70,621.35,612.57,33292864,203942.19,295406,14011476,42.09,85830
RELIANCE,EQ, 28-Apr-2021,1988.65,1997.85,2008.0,1980.15, 1993.15,1997.3,1997.6,7902002,157850.76,247331,3921560,49.63,78337
BAJFINANCE,EQ, 28-Apr-2021,4865.05,4915.0,5310.0,4915.0, 5255.00,5280.9,5158.33,8576454,442401.75,466644,1420176,16.56,73257
SBIN,EQ, 28-Apr-2021,353.05,357.0,364.3,356.05, 362.90,363.4,361.63,56696255,205031.3,337002,13430042,23.69,48567
HDFC,EQ, 28-Apr-2021,2518.4,2516.1,2609.0,2508.3, 2575.00,2577.0,2574.21,3407461,87715.27,117425,1815110,53.27,46724
MARUTI,EQ, 28-Apr-2021,6568.75,6568.75,6650.0,6545.0, 6581.00,6573.8,6598.62,1406270,92794.37,117843,672435,47.82,44371
KOTAKBANK,EQ, 28-Apr-2021,1750.3,1762.5,1824.0,1754.0, 1815.00,1811.45,1798.0,4174599,75059.45,118297,2170192,51.99,39020
INFY,EQ, 28-Apr-2021,1348.5,1358.0,1359.5,1344.6, 1355.80,1356.0,1353.45,4879234,66037.78,137376,2857134,58.56,38669
HCLTECH,EQ, 28-Apr-2021,928.85,931.2,935.85,921.75, 925.90,923.8,926.63,6845677,63434.03,228230,3890178,56.83,36047
TATASTEEL,EQ, 28-Apr-2021,977.75,985.0,986.0,962.0, 971.00,971.4,972.08,20447968,198770.04,255599,3550908,17.37,34517
BRITANNIA,EQ, 28-Apr-2021,3541.2,3488.0,3527.0,3469.0, 3470.00,3478.75,3495.13,1498181,52363.39,97170,763715,50.98,26692
TCS,EQ, 28-Apr-2021,3132.0,3149.95,3151.0,3112.0, 3123.00,3124.1,3125.72,1639037,51231.76,76017,847762,51.72,26498
HINDUNILVR,EQ, 28-Apr-2021,2379.85,2380.0,2445.0,2366.3, 2404.00,2406.55,2414.15,1951215,47105.22,84910,1024216,52.49,24726
BHARTIARTL,EQ, 28-Apr-2021,534.3,535.95,548.0,535.6, 543.75,544.3,542.82,11970652,64978.66,125600,4344243,36.29,23581
LT,EQ, 28-Apr-2021,1380.65,1384.85,1399.95,1372.5, 1374.15,1375.9,1383.54,3220346,44554.88,88395,1638109,50.87,22663
