SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
HDFCBANK,EQ, 18-May-2021,1440.25,1458.95,1482.75,1455.0,1478.15,1476.7,1473.08,11082640,163256.27,303758,6640863,59.92,97825,20210518
BHARTIARTL,EQ, 18-May-2021,549.65,547.5,552.9,534.55,536.8,536.35,540.86,34324460,185648.67,365295,14127966,41.16,76412,20210518
AXISBANK,EQ, 18-May-2021,709.25,720.0,726.0,708.5,712.3,711.65,715.81,19519055,139719.93,197837,9827816,50.35,70348,20210518
TATASTEEL,EQ, 18-May-2021,1150.85,1175.0,1196.45,1157.05,1179.45,1180.0,1180.26,24573880,290036.47,352679,5264433,21.42,62133,20210518
KOTAKBANK,EQ, 18-May-2021,1744.15,1768.0,1770.95,1750.1,1755.0,1755.1,1757.0,4658414,81848.27,97742,3383150,72.62,59441,20210518
SBIN,EQ, 18-May-2021,383.1,390.0,392.55,380.05,382.95,382.25,385.07,70917710,273082.36,483711,14714918,20.75,56662,20210518
ICICIBANK,EQ, 18-May-2021,623.6,628.0,635.5,626.0,633.7,633.2,632.48,19242627,121705.21,230750,8655991,44.98,54747,20210518
INFY,EQ, 18-May-2021,1329.4,1338.0,1344.6,1329.5,1338.75,1340.0,1338.06,5620150,75200.81,135851,3553759,63.23,47551,20210518
HDFC,EQ, 18-May-2021,2486.45,2508.0,2527.0,2486.95,2499.95,2502.85,2504.55,2844233,71235.27,141868,1663429,58.48,41661,20210518
RELIANCE,EQ, 18-May-2021,1960.35,1981.0,2002.6,1972.5,1986.0,1987.95,1987.92,5567958,110686.82,184906,1952871,35.07,38821,20210518
TATAMOTORS,EQ, 18-May-2021,321.1,325.95,336.65,324.0,332.0,332.45,331.11,86153088,285261.72,507559,11382641,13.21,37689,20210518
BAJFINANCE,EQ, 18-May-2021,5430.1,5501.0,5705.0,5501.0,5676.2,5688.75,5639.16,3147883,177514.29,184119,658654,20.92,37142,20210518
TCS,EQ, 18-May-2021,3069.75,3100.0,3124.0,3078.0,3089.0,3088.8,3097.13,2098538,64994.43,65396,1156834,55.13,35828,20210518
ITC,EQ, 18-May-2021,212.6,214.1,214.6,209.65,210.2,210.05,211.35,30479551,64419.52,167993,15760619,51.71,33310,20210518
HCLTECH,EQ, 18-May-2021,922.15,928.0,939.5,924.5,932.9,931.6,933.07,5913426,55176.68,150926,3107120,52.54,28991,20210518
ATGL,EQ, 18-May-2021,1290.5,1314.0,1351.5,1305.05,1346.0,1339.7,1324.54,3914732,51852.01,58295,2157627,55.12,28578,20210518
ADANIENT,EQ, 18-May-2021,1289.1,1314.95,1344.95,1302.0,1344.45,1326.7,1313.87,6531595,85816.65,102239,2129540,32.6,27979,20210518
M&M,EQ, 18-May-2021,753.55,761.0,799.95,754.0,797.05,797.7,784.23,8634396,67713.52,145929,3047694,35.3,23900,20210518
SAIL,EQ, 18-May-2021,130.55,134.5,136.2,130.4,131.55,131.95,133.47,66676999,88995.18,183910,16341102,24.51,21810,20210518
MARUTI,EQ, 18-May-2021,6717.85,6788.0,6864.0,6715.45,6812.0,6811.1,6798.4,805827,54783.38,74323,308871,38.33,20998,20210518
FEDERALBNK,EQ, 18-May-2021,81.55,84.0,86.4,83.1,84.2,84.35,84.87,84550492,71754.02,186742,14852511,17.57,12605,20210518
ULTRACEMCO,EQ, 18-May-2021,6532.35,6580.0,6670.0,6562.6,6631.9,6653.0,6624.48,451024,29877.99,48429,169756,37.64,11245,20210518
BHEL,EQ, 18-May-2021,71.25,72.7,73.25,70.75,71.45,71.75,72.09,76124575,54881.23,138683,15387097,20.21,11092,20210518
PNB,EQ, 18-May-2021,37.65,38.35,38.35,37.2,37.45,37.35,37.7,91471489,34483.65,106011,27192435,29.73,10251,20210518
DMART,EQ, 18-May-2021,2898.7,2920.0,3080.0,2910.75,3071.0,3056.3,3003.81,1022329,30708.8,66857,330837,32.36,9937,20210518
MOTHERSUMI,EQ, 18-May-2021,240.2,243.0,248.65,240.45,242.45,242.25,244.47,16328735,39918.26,131841,3722419,22.8,9100,20210518
BAJAJFINSV,EQ, 18-May-2021,11249.35,11345.65,11589.0,11290.1,11350.0,11396.8,11452.2,403959,46262.19,43882,74645,18.48,8548,20210518
IDFCFIRSTB,EQ, 18-May-2021,55.8,56.3,57.35,55.55,56.3,56.05,56.43,43106124,24326.76,75604,13768173,31.94,7769,20210518
APOLLOHOSP,EQ, 18-May-2021,3152.35,3174.0,3188.45,3140.0,3172.0,3163.5,3160.41,639445,20209.06,38500,227382,35.56,7186,20210518
YESBANK,EQ, 18-May-2021,13.35,13.4,13.5,13.25,13.4,13.35,13.35,82571190,11020.79,72102,38936512,47.16,5198,20210518
BATAINDIA,EQ, 18-May-2021,1406.4,1412.0,1457.5,1408.05,1456.7,1450.8,1436.22,944888,13570.72,35069,351372,37.19,5046,20210518
TRENT,EQ, 18-May-2021,795.15,800.0,832.9,799.25,832.5,828.3,819.29,2275063,18639.3,56333,427021,18.77,3498,20210518
3IINFOTECH,EQ, 18-May-2021,9.7,9.75,9.8,9.25,9.25,9.25,9.35,107190991,10027.44,31501,34280439,31.98,3205,20210518
LALPATHLAB,EQ, 18-May-2021,2751.85,2764.2,2820.0,2740.05,2798.0,2796.35,2786.75,389732,10860.85,23105,104154,26.72,2902,20210518
IDEA,EQ, 18-May-2021,8.55,8.6,8.7,8.5,8.55,8.55,8.6,70097530,6026.38,107349,27743734,39.58,2385,20210518
EQUITASBNK,EQ, 18-May-2021,55.6,56.5,56.5,55.3,55.6,55.5,55.72,3465775,1931.14,5737,3287834,94.87,1831,20210518
MAN50ETF,EQ, 18-May-2021,152.21,153.93,154.95,153.93,154.8,154.77,154.24,621379,958.42,162,618046,99.46,953,20210518
