"SYMBOL"," 31-Mar-2020_delta"," 30-Jun-2020_delta"," 30-Sep-2020_delta"," 31-Dec-2020_delta"," 31-Mar-2021_delta","average"
"RELIANCE","-26.22217806041335","53.00561167227833","31.116131682413005","-11.146418421464855","0.896589936029817","9.52994736176859"
"ICICIBANK","-39.68327899394504","8.555984555984553","0.9389671361502381","50.82452431289639","8.793570694327645","5.885953541082758"
"LT","-38.280087026222375","16.716141001855284","-4.456101308747942","42.81277728482696","10.197266231749005","5.397999236692185"
"TITAN","-19.142671573933747","1.729677626646672","26.47786492604094","30.449078120447847","-0.5806719203650025","7.786655435767342"
"KOTAKBANK","-22.579970729667572","4.96894409937889","-6.780844573486713","57.35688377227566","-12.156744838645015","4.161653545971048"
"HDFCBANK","-32.590333176912246","23.662837916231574","1.1962283623399166","33.163359910995744","3.992898419550243","5.884998286441046"
"HDFC","-32.903305326732266","7.442900006123335","-0.8320747727467094","47.04462515444959","-2.3664823246634037","3.677132547286109"
"AXISBANK","-49.3789234673434","7.295514511873345","4.426410918480266","46.108559990580495","12.410347328551858","4.172381856428513"
"LIQUIDBEES","0.0010000100000990915","0.0","0.0","0.0","0.0","0.0002000020000198183"
"POWERGRID","-18.61892583120205","9.89943431803897","-7.091792965398917","16.86672822406895","13.589676060047411","2.9290239611108735"
"MARUTI","-41.35016480435466","36.14485926824149","15.503656886422409","13.437483780557438","-10.332566408701114","2.6806537444331124"
"INDUSINDBK","-76.33227784140672","35.15513805863934","11.078348778433018","69.69093667045887","6.64841611263199","9.2481123557513"
"SBIN","-41.14217371804455","-9.347218694437393","3.894648360885412","48.3009708737864","32.49681760320059","6.84060888507809"
"FMGOETZE","-51.010024301336564","20.57045419314834","9.74543584469016","-26.956419868791002","-9.831595829991974","-11.496429992456209"
"VEDL","-58.15006468305304","64.45131375579598","28.66541353383458","17.896274653031412","41.72862453531598","18.918312358984984"
"NTPC","-30.72809543397778","13.776722090261275","-11.169102296450943","16.74500587544066","7.247106190236541","-0.8256727148980494"
"BHARTIARTL","-2.735495257004199","26.978906781583138","-24.810217022416726","21.08326404561112","1.4910731803021318","4.4015063456150925"
"HINDUNILVR","18.690454674550104","-5.155536219273439","-5.126146788990826","15.817720294935336","1.5070551891124617","5.146709430066727"
"MFSL","-29.066765031353746","40.92563702548101","12.952029520295211","10.266252858542945","27.316495074438947","12.478729889480874"
"ITC","-27.88744225115498","13.366336633663378","-11.790393013100445","21.72393709959232","4.545454545454546","-0.008421397109036555"
"ADANIPORTS","-33.45690454124188","36.848388380421795","-0.6251817388775741","41.550841258229696","45.19896640826873","17.903221953360152"
"YESBANK","-51.87566988210075","14.031180400890877","-48.6328125","35.741444866920155","-12.605042016806731","-12.66817982621929"
"BAJFINANCE","-47.633115118285154","27.764238649697614","15.810667608618859","61.5079607149393","-2.744938812509432","10.940962608492239"
"INFY","-12.940218497658956","14.723304754481692","36.99979618180582","24.552442350607485","8.93852524287307","14.454770006421821"
"IBULHSGFIN","-69.05980172689479","114.10852713178295","-24.137098720733768","40.18453706649698","-10.803449841125742","10.058542781905127"
"TCS","-15.75475179922495","14.021685559388871","19.698388684772954","14.863780443766794","11.006898960789448","8.767200369898623"
