"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"HDFC"," 03-Apr-2020","1583.5","1499.55","1512.61","10149442","153521.54","342735","6541237","64.45","98943"
"ICICIBANK"," 03-Apr-2020","311.15","286.65","291.84","57330285","167312.87","531869","25041960","43.68","73082"
"HDFCBANK"," 03-Apr-2020","829.65","813.85","825.26","17499063","144413.18","392455","8690196","49.66","71716"
"RELIANCE"," 03-Apr-2020","1080.45","1077.45","1077.52","18912044","203780.95","519365","6471589","34.22","69732"
"AXISBANK"," 03-Apr-2020","358.65","325.45","343.1","41317685","141761.8","407312","16705260","40.43","57315"
"ITC"," 03-Apr-2020","166.4","177.9","175.12","62868085","110092.82","354482","31070588","49.42","54410"
"KOTAKBANK"," 03-Apr-2020","1181.65","1140.85","1118.6","10111593","113107.91","397346","4187251","41.41","46838"
"TCS"," 03-Apr-2020","1708.75","1654.2","1688.3","5735529","96833.17","244588","2453808","42.78","41427"
"SBIN"," 03-Apr-2020","186.55","175.5","178.56","64455937","115091.45","589657","22742948","35.28","40609"
"HINDUNILVR"," 03-Apr-2020","2179.65","2154.1","2183.12","4121462","89976.33","217202","1569735","38.09","34269"
"BAJFINANCE"," 03-Apr-2020","2219.35","2207.5","2262.83","6172683","139677.28","417221","1422699","23.05","32193"
"BHARTIARTL"," 03-Apr-2020","421.35","423.95","423.52","14153710","59944.09","232505","7174853","50.69","30386"
"SUNPHARMA"," 03-Apr-2020","343.55","375.95","369.67","28550650","105542.31","338973","8027405","28.12","29674"
"INFY"," 03-Apr-2020","602.8","585.7","592.53","10221890","60567.26","261228","4711571","46.09","27917"
"MARUTI"," 03-Apr-2020","4246.35","4011.5","4099.78","1724863","70715.62","174626","641298","37.18","26291"
"CIPLA"," 03-Apr-2020","413.75","449.2","442.98","17906777","79323.4","276736","5394566","30.13","23896"
"ASIANPAINT"," 03-Apr-2020","1603.2","1520.9","1536.04","2925847","44942.04","134230","1456622","49.78","22374"
"HDFCLIFE"," 03-Apr-2020","429.9","422.3","426.79","6997591","29864.76","164793","4363854","62.36","18624"
"INDUSINDBK"," 03-Apr-2020","342.25","313.2","319.87","23015160","73618.91","407632","5782247","25.12","18495"
"HCLTECH"," 03-Apr-2020","413.55","405.8","415.48","8166456","33930.15","157013","4330439","53.03","17992"
"TITAN"," 03-Apr-2020","936.05","862.8","884.64","4951957","43806.9","188938","1937332","39.12","17138"
"LT"," 03-Apr-2020","774.35","774.65","773.33","4268501","33009.75","186484","1745998","40.9","13502"
"MRF"," 03-Apr-2020","55108.85","55062.25","55162.31","33126","18273.07","8631","23331","70.43","12869"
"LIQUIDBEES"," 03-Apr-2020","1000.0","1000.0","1000.01","1396490","13965.0","3232","1286639","92.13","12866"
"TECHM"," 03-Apr-2020","511.2","520.9","521.07","5826215","30358.72","126608","2443907","41.95","12734"
"SRTRANSFIN"," 03-Apr-2020","621.65","520.65","574.97","5220755","30017.81","124986","1984992","38.02","11413"
"NESTLEIND"," 03-Apr-2020","15654.55","15104.65","15288.6","190780","29167.6","57967","73752","38.66","11275"
"POWERGRID"," 03-Apr-2020","154.6","156.2","157.33","11850094","18643.75","94229","7133447","60.2","11223"
"EICHERMOT"," 03-Apr-2020","13001.6","12680.05","12828.14","180698","23180.19","48111","79783","44.15","10234"
"DRREDDY"," 03-Apr-2020","3095.0","3146.8","3143.89","1173674","36899.05","95189","314667","26.81","9892"
"BPCL"," 03-Apr-2020","302.95","317.15","308.87","14320952","44233.64","210442","3081533","21.52","9517"
"BAJAJFINSV"," 03-Apr-2020","4501.9","4510.75","4537.22","722316","32773.06","138917","201065","27.84","9122"
"TORNTPHARM"," 03-Apr-2020","1959.0","2077.0","2061.88","1013029","20887.41","86009","433411","42.78","8936"
"ICICIGI"," 03-Apr-2020","1105.75","1045.05","1047.9","1099047","11516.88","78555","838720","76.31","8788"
"RBLBANK"," 03-Apr-2020","131.3","110.95","117.01","44027691","51516.21","341004","7283185","16.54","8522"
"ADANIPORTS"," 03-Apr-2020","244.8","244.8","248.45","7210453","17914.16","43535","3270022","45.35","8124"
"DIVISLAB"," 03-Apr-2020","1877.0","1901.05","1893.04","1219731","23089.93","79829","419282","34.37","7937"
"TATACONSUM"," 03-Apr-2020","280.0","267.15","269.05","5990376","16117.28","118890","2914165","48.65","7840"
"KANSAINER"," 03-Apr-2020","388.95","377.4","376.04","2067993","7776.4","2965","2037288","98.52","7661"
"APOLLOHOSP"," 03-Apr-2020","1088.85","1189.55","1169.46","2397409","28036.64","128015","649984","27.11","7601"
"JSWSTEEL"," 03-Apr-2020","143.0","140.7","137.91","18559602","25595.2","150511","5511899","29.7","7601"
"INFRATEL"," 03-Apr-2020","155.1","156.4","155.4","8125477","12627.16","68485","4798796","59.06","7457"
"AUROPHARMA"," 03-Apr-2020","392.3","382.4","386.95","17168599","66434.67","272142","1913845","11.15","7405"
"TATASTEEL"," 03-Apr-2020","266.35","253.75","255.68","12528030","32031.61","174595","2888719","23.06","7385"
"HEROMOTOCO"," 03-Apr-2020","1639.65","1582.05","1579.91","1592848","25165.5","97799","460829","28.93","7280"
"NTPC"," 03-Apr-2020","81.0","79.55","80.1","18319674","14673.88","79080","9040637","49.35","7241"
"LUPIN"," 03-Apr-2020","579.05","655.85","633.2","6492876","41113.01","146154","1089812","16.78","6900"
"DABUR"," 03-Apr-2020","434.85","427.8","434.92","4235837","18422.64","112806","1570673","37.08","6831"
"BANDHANBNK"," 03-Apr-2020","194.9","181.55","184.71","9147321","16896.25","144751","3536608","38.66","6532"
"JINDALSTEL"," 03-Apr-2020","70.25","63.15","67.58","46620044","31508.11","167301","9581532","20.55","6475"
"VEDL"," 03-Apr-2020","62.65","62.8","62.81","24226287","15216.52","77561","10283934","42.45","6459"
"HDFCAMC"," 03-Apr-2020","2185.75","2177.15","2180.55","520257","11344.44","85741","296225","56.94","6459"
"SHREECEM"," 03-Apr-2020","16549.65","15783.8","15968.85","77720","12410.99","31757","38016","48.91","6070"
"PIDILITIND"," 03-Apr-2020","1297.3","1215.9","1223.81","1310167","16033.97","111585","493910","37.7","6044"
"M&M"," 03-Apr-2020","272.85","280.7","283.35","6961905","19726.71","111923","2094060","30.08","5933"
"MCDOWELL-N"," 03-Apr-2020","462.85","465.8","476.73","2828163","13482.61","77073","1227788","43.41","5853"
"JUBLFOOD"," 03-Apr-2020","1383.1","1297.8","1303.44","1350655","17605.0","85154","448739","33.22","5849"
"ACC"," 03-Apr-2020","963.45","962.6","959.12","1221295","11713.74","31706","599171","49.06","5746"
"HINDPETRO"," 03-Apr-2020","184.0","184.2","184.78","9509089","17570.76","90827","2975601","31.29","5498"
"IGL"," 03-Apr-2020","390.55","406.7","399.34","4513937","18025.91","114341","1365446","30.25","5452"
"TATAMOTORS"," 03-Apr-2020","67.95","65.3","65.5","35346490","23151.42","161810","8319686","23.54","5449"
"ONGC"," 03-Apr-2020","65.75","69.85","68.84","39761221","27370.29","154154","7578449","19.06","5217"
"BAJAJ-AUTO"," 03-Apr-2020","2051.1","2033.75","2011.09","692220","13921.16","82281","253473","36.62","5097"
"SBICARD"," 03-Apr-2020","608.05","590.25","596.99","1693653","10110.94","117158","846813","50.0","5055"
"WIPRO"," 03-Apr-2020","189.5","180.0","181.23","6573737","11913.49","79843","2690631","40.93","4876"
"PEL"," 03-Apr-2020","936.5","912.1","901.86","2422575","21848.12","106428","537713","22.2","4849"
"GODREJCP"," 03-Apr-2020","548.75","531.45","539.82","1709383","9227.53","59923","896840","52.47","4841"
"COLPAL"," 03-Apr-2020","1242.5","1249.9","1245.75","970935","12095.43","48711","379559","39.09","4728"
"BRITANNIA"," 03-Apr-2020","2564.85","2563.25","2533.94","726903","18419.31","80839","185637","25.54","4703"
"BIOCON"," 03-Apr-2020","278.4","290.95","288.49","6293405","18156.1","118393","1629829","25.9","4701"
"COALINDIA"," 03-Apr-2020","139.45","137.75","136.15","10937172","14891.28","105935","3450581","31.55","4697"
"ICICIPRULI"," 03-Apr-2020","342.6","338.9","339.49","3435594","11663.34","60568","1308157","38.08","4441"
"ULTRACEMCO"," 03-Apr-2020","3140.65","3041.6","3083.02","406173","12522.39","42250","138330","34.06","4264"
"SBILIFE"," 03-Apr-2020","635.1","650.15","648.5","1279330","8296.44","73454","654022","51.12","4241"
"GSKCONS"," 03-Apr-2020","9548.55","9356.2","9418.29","77269","7277.42","15833","43143","55.83","4063"
"UPL"," 03-Apr-2020","305.75","298.1","301.9","3265474","9858.59","59126","1331534","40.78","4019"
"NAUKRI"," 03-Apr-2020","2013.95","2006.65","1994.35","310860","6199.62","32639","197766","63.62","3944"
"LICHSGFIN"," 03-Apr-2020","233.0","218.65","223.1","4702299","10490.71","83846","1745279","37.12","3893"
"PETRONET"," 03-Apr-2020","200.0","195.8","198.41","3489254","6923.2","72452","1921924","55.08","3813"
"ASHOKLEY"," 03-Apr-2020","41.1","38.15","38.6","37556156","14498.26","158009","9874594","26.29","3811"
"GAIL"," 03-Apr-2020","75.75","80.9","79.45","19035356","15122.69","111924","4636330","24.36","3683"
"ALKEM"," 03-Apr-2020","2270.05","2267.05","2272.76","196222","4459.66","18773","157841","80.44","3587"
"INDIGO"," 03-Apr-2020","999.0","953.25","952.21","2314764","22041.38","87788","375932","16.24","3579"
"HAVELLS"," 03-Apr-2020","484.6","471.5","479.81","2044235","9808.38","101213","736930","36.05","3535"
"SRF"," 03-Apr-2020","2654.95","2668.35","2665.78","411310","10964.61","37525","130667","31.77","3483"
"BANKBARODA"," 03-Apr-2020","51.25","48.7","49.48","20739757","10262.0","66487","6894032","33.24","3411"
"IBULHSGFIN"," 03-Apr-2020","99.35","96.65","95.88","14992859","14375.79","92775","3499714","23.34","3355"
"IOC"," 03-Apr-2020","78.95","79.5","79.13","17006294","13456.8","78460","4170456","24.52","3300"
"MARICO"," 03-Apr-2020","265.5","261.15","265.14","3664064","9714.79","86124","1211769","33.07","3212"
"LTTS"," 03-Apr-2020","1181.1","1107.6","1117.18","345971","3865.12","18483","283881","82.05","3171"
