"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS","DATE"
"HDFCBANK"," 03-May-2021","1412.3","1414.45","1398.07","11236850","157099.46","341238","5720050","50.9","79970","20210503"
"RELIANCE"," 03-May-2021","1994.5","1959.05","1958.46","10909942","213666.39","343806","3800598","34.84","74433","20210503"
"BAJFINANCE"," 03-May-2021","5451.9","5551.15","5450.95","4033591","219868.92","217761","878746","21.79","47900","20210503"
"TATASTEEL"," 03-May-2021","1034.0","1064.75","1047.74","26484100","277484.24","338503","4393404","16.59","46031","20210503"
"INFY"," 03-May-2021","1354.35","1352.05","1350.88","4560337","61604.49","126788","2748838","60.28","37133","20210503"
"HDFC"," 03-May-2021","2420.1","2418.5","2401.4","2984938","71680.43","144750","1437363","48.15","34516","20210503"
"HCLTECH"," 03-May-2021","898.95","907.7","903.47","6871176","62078.73","192077","3707743","53.96","33498","20210503"
"ICICIBANK"," 03-May-2021","600.5","596.75","592.4","18010557","106694.2","201108","5156764","28.63","30548","20210503"
"BHARTIARTL"," 03-May-2021","536.75","558.85","547.44","14288088","78219.0","144212","5353429","37.47","29306","20210503"
"SAIL"," 03-May-2021","119.5","127.75","124.97","170916244","213601.43","396305","21450961","12.55","26807","20210503"
"KOTAKBANK"," 03-May-2021","1748.8","1725.45","1721.78","5593869","96314.12","204900","1554612","27.79","26766","20210503"
"AUBANK"," 03-May-2021","1004.3","924.05","929.14","6959261","64661.33","170359","2676936","38.47","24872","20210503"
"TITAN"," 03-May-2021","1491.65","1423.95","1433.79","3945733","56573.42","142010","1601475","40.59","22961","20210503"
"ITC"," 03-May-2021","202.6","200.95","200.87","20611626","41403.5","189472","11090236","53.81","22276","20210503"
"INDUSINDBK"," 03-May-2021","934.95","913.6","927.01","16854199","156239.41","285821","2373660","14.08","22004","20210503"
"SBIN"," 03-May-2021","353.5","350.6","347.45","43691860","151805.52","313847","5977717","13.68","20769","20210503"
"TCS"," 03-May-2021","3035.65","3037.0","3035.65","1545831","46926.05","109575","636257","41.16","19314","20210503"
"TECHM"," 03-May-2021","960.4","957.7","960.41","3506839","33679.99","54536","1967912","56.12","18900","20210503"
"ADANIPORTS"," 03-May-2021","730.05","761.4","747.35","25953577","193964.45","329203","2497461","9.62","18664","20210503"
"HDFCLIFE"," 03-May-2021","665.1","671.9","666.04","4908079","32689.91","101245","2706687","55.15","18027","20210503"
"DRREDDY"," 03-May-2021","5163.1","5185.95","5183.01","937899","48611.41","65239","331471","35.34","17180","20210503"
"SUNTV"," 03-May-2021","543.35","505.15","524.16","13929340","73011.65","189241","3234646","23.22","16954","20210503"
"HINDUNILVR"," 03-May-2021","2353.75","2408.0","2395.0","1692239","40529.16","80521","703310","41.56","16844","20210503"
"JSWSTEEL"," 03-May-2021","717.85","723.25","721.48","16906171","121974.39","179640","2248819","13.3","16224","20210503"
"AXISBANK"," 03-May-2021","714.9","702.75","700.77","13752878","96376.19","177816","2293568","16.68","16072","20210503"
"SBILIFE"," 03-May-2021","928.7","958.6","953.26","5424609","51710.75","130711","1565880","28.87","14926","20210503"
"BHEL"," 03-May-2021","48.3","53.5","51.24","133520586","68420.08","180590","28832230","21.59","14773","20210503"
"TATASTLBSL"," 03-May-2021","72.25","86.35","81.59","55062358","44924.1","163004","17902109","32.51","14606","20210503"
"BANDHANBNK"," 03-May-2021","329.75","318.85","318.89","13743805","43827.27","120032","4534902","33.0","14461","20210503"
"ADANIENT"," 03-May-2021","1158.7","1255.55","1216.67","11276228","137194.56","236879","1183885","10.5","14403","20210503"
"LAURUSLABS"," 03-May-2021","452.75","477.25","471.59","7513003","35430.92","96227","2994293","39.85","14120","20210503"
"HINDALCO"," 03-May-2021","364.4","369.95","367.41","15890242","58382.79","116737","3543910","22.3","13020","20210503"
"CIPLA"," 03-May-2021","910.35","910.2","913.39","6330144","57818.67","108715","1377939","21.77","12585","20210503"
"WIPRO"," 03-May-2021","492.75","487.35","488.82","8599731","42036.83","126044","2410571","28.03","11783","20210503"
"MARICO"," 03-May-2021","411.45","445.15","443.67","21636785","95995.34","245417","2447229","11.31","10857","20210503"
"TATAMOTORS"," 03-May-2021","293.85","293.0","290.96","35376618","102933.18","217697","3726649","10.53","10843","20210503"
"MARUTI"," 03-May-2021","6455.65","6597.85","6568.74","834923","54843.91","71917","162249","19.43","10657","20210503"
"ULTRACEMCO"," 03-May-2021","6278.95","6350.15","6275.8","402055","25232.17","38888","168849","42.0","10596","20210503"
"YESBANK"," 03-May-2021","14.55","13.9","13.72","248997751","34172.26","163715","75251974","30.22","10324","20210503"
"TATAMETALI"," 03-May-2021","1055.7","1251.45","1183.3","6509000","77021.12","186860","865084","13.29","10236","20210503"
"NATIONALUM"," 03-May-2021","64.65","67.65","66.92","59516858","39826.34","90871","15055768","25.3","10075","20210503"
"BPCL"," 03-May-2021","421.8","416.0","420.06","8059391","33854.32","108314","2363880","29.33","9929","20210503"
"VEDL"," 03-May-2021","257.25","256.45","257.87","12835262","33097.84","69884","3802238","29.62","9804","20210503"
"APOLLOHOSP"," 03-May-2021","3197.5","3204.3","3178.72","728281","23149.99","35589","295224","40.54","9384","20210503"
"BRITANNIA"," 03-May-2021","3449.0","3439.25","3457.82","570022","19710.33","40185","271088","47.56","9373","20210503"
"ATGL"," 03-May-2021","1150.75","1237.2","1212.34","1994587","24181.11","61617","763908","38.3","9261","20210503"
"NAUKRI"," 03-May-2021","4914.7","4864.95","4856.07","372170","18072.83","30867","188269","50.59","9142","20210503"
"INDIAMART"," 03-May-2021","7948.65","7733.45","7763.08","232566","18054.28","52774","115808","49.8","8990","20210503"
"DEEPAKNTR"," 03-May-2021","1865.6","1904.1","1914.08","2911349","55725.67","118840","466913","16.04","8937","20210503"
"POWERGRID"," 03-May-2021","220.05","220.8","220.83","8734538","19288.62","56798","4046253","46.32","8935","20210503"
"RELIANCE"," 04-May-2021","1959.05","1916.6","1935.83","10083693","195203.3","325798","4435071","43.98","85855","20210504"
"HDFCBANK"," 04-May-2021","1414.45","1388.35","1403.8","10743164","150812.2","263951","4454875","41.47","62537","20210504"
"TATASTEEL"," 04-May-2021","1064.75","1063.85","1072.68","24961628","267758.68","309589","5045352","20.21","54120","20210504"
"BAJFINANCE"," 04-May-2021","5551.15","5615.75","5670.74","4838347","274370.14","262578","912912","18.87","51768","20210504"
"ADANIPORTS"," 04-May-2021","761.4","768.75","771.89","31400296","242374.62","311611","6240022","19.87","48166","20210504"
"HDFC"," 04-May-2021","2418.5","2377.2","2401.21","3135834","75297.87","161798","1714470","54.67","41168","20210504"
"INFY"," 04-May-2021","1352.05","1329.4","1339.98","4887060","65485.65","158010","2857619","58.47","38291","20210504"
"HCLTECH"," 04-May-2021","907.7","900.95","907.88","6217026","56443.01","168209","4062318","65.34","36880","20210504"
"VEDL"," 04-May-2021","256.45","258.55","257.76","30234483","77933.73","93368","13878525","45.9","35773","20210504"
"SAIL"," 04-May-2021","127.75","128.0","131.33","195246744","256423.18","463309","26333762","13.49","34584","20210504"
"KOTAKBANK"," 04-May-2021","1725.45","1732.65","1745.27","4255151","74263.87","146566","1899690","44.64","33154","20210504"
"TATACHEM"," 04-May-2021","783.15","708.55","725.95","23262075","168869.95","384502","4468732","19.21","32440","20210504"
"SBILIFE"," 04-May-2021","958.6","982.9","980.77","10515809","103135.73","221039","2857263","27.17","28023","20210504"
"TCS"," 04-May-2021","3037.0","3049.75","3061.2","1990777","60941.68","94786","912440","45.83","27931","20210504"
"SBIN"," 04-May-2021","350.6","351.5","357.53","57749307","206470.2","342742","7751821","13.42","27715","20210504"
"BHARTIARTL"," 04-May-2021","558.85","552.45","557.72","13934607","77716.57","156159","4821183","34.6","26888","20210504"
"TECHM"," 04-May-2021","957.7","960.4","961.83","4064221","39091.04","58350","2571308","63.27","24731","20210504"
"ICICIBANK"," 04-May-2021","596.75","591.55","600.27","15115127","90731.15","170816","3728401","24.67","22380","20210504"
"TITAN"," 04-May-2021","1423.95","1402.9","1410.7","3194977","45071.64","131753","1583368","49.56","22336","20210504"
"AXISBANK"," 04-May-2021","702.75","700.35","710.29","11980155","85093.65","163128","3012155","25.14","21395","20210504"
"TATASTLBSL"," 04-May-2021","86.35","98.7","99.12","61704724","61158.74","257820","21180335","34.33","20993","20210504"
"CIPLA"," 04-May-2021","910.2","878.45","888.86","8347795","74200.07","150291","2274119","27.24","20213","20210504"
"HINDUNILVR"," 04-May-2021","2408.0","2407.65","2395.49","1453111","34809.14","80821","772815","53.18","18512","20210504"
"ITC"," 04-May-2021","200.95","199.6","200.61","18259282","36629.5","150994","8722406","47.77","17498","20210504"
"TATACONSUM"," 04-May-2021","677.1","645.25","653.68","7400792","48377.21","168508","2631827","35.56","17203","20210504"
"PNB"," 04-May-2021","34.5","37.45","37.38","426069700","159248.43","282870","45330561","10.64","16944","20210504"
"TATAMOTORS"," 04-May-2021","293.0","289.45","293.92","38640006","113568.83","215522","5558961","14.39","16338","20210504"
"BPCL"," 04-May-2021","416.0","421.45","424.14","9993939","42388.58","126972","3835206","38.38","16266","20210504"
"LAURUSLABS"," 04-May-2021","477.25","491.0","490.71","8877773","43563.91","114803","3174532","35.76","15577","20210504"
"LT"," 04-May-2021","1342.5","1337.6","1339.13","2029558","27178.33","69020","1041025","51.29","13940","20210504"
"HDFCLIFE"," 04-May-2021","671.9","667.85","671.71","4118750","27666.11","102269","2052018","49.82","13783","20210504"
"UPL"," 04-May-2021","617.8","611.25","629.59","13505599","85029.46","182349","2134496","15.8","13438","20210504"
"TATAPOWER"," 04-May-2021","99.85","101.05","101.85","55562146","56587.58","131351","13109177","23.59","13351","20210504"
"BHEL"," 04-May-2021","53.5","52.55","54.35","154123432","83759.3","225272","24473469","15.88","13301","20210504"
"LTTS"," 04-May-2021","2797.4","2575.5","2594.34","1559787","40466.12","103875","510545","32.73","13245","20210504"
"HINDALCO"," 04-May-2021","369.95","362.55","372.58","29767756","110907.33","208719","3538767","11.89","13184","20210504"
"BANKBARODA"," 04-May-2021","66.65","70.4","70.71","117824041","83314.25","221770","18606759","15.79","13156","20210504"
"MAGMA"," 04-May-2021","116.8","122.55","119.16","22446508","26748.25","38650","10848760","48.33","12927","20210504"
"POWERGRID"," 04-May-2021","220.8","218.05","219.0","11732310","25693.72","47304","5823205","49.63","12752","20210504"
"DRREDDY"," 04-May-2021","5185.95","5067.25","5120.0","795618","40735.61","57980","241367","30.34","12357","20210504"
"BAJAJFINSV"," 04-May-2021","11041.7","10986.45","11038.97","522101","57634.57","55521","111379","21.33","12295","20210504"
"AUBANK"," 04-May-2021","924.05","915.5","931.13","3514455","32724.3","97067","1306924","37.19","12169","20210504"
"GAIL"," 04-May-2021","137.5","143.75","143.48","31186406","44745.0","133544","8239457","26.42","11821","20210504"
"NESTLEIND"," 04-May-2021","16506.75","16546.6","16544.4","105796","17503.31","18748","71300","67.39","11796","20210504"
