"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS","DATE"
"ACRYSIL"," 08-Feb-2021","208.4","218.8","218.8","14776","32.33","99","14776","100.0","32","20210208"
"SECURKLOUD"," 08-Feb-2021","100.2","95.2","95.2","15566","14.82","146","15439","99.18","14","20210208"
"EBBETF0430"," 08-Feb-2021","1119.94","1117.69","1118.97","22203","248.45","191","21967","98.94","245","20210208"
"NBIFIN"," 08-Feb-2021","1661.85","1750.4","1662.61","52452","872.07","127","51680","98.53","859","20210208"
"AKASH"," 08-Feb-2021","225.55","229.9","229.93","102903","236.61","262","101160","98.31","232","20210208"
"MAN50ETF"," 08-Feb-2021","151.75","154.24","154.45","12622","19.49","91","12240","96.97","18","20210208"
"ICICI500"," 08-Feb-2021","201.45","203.17","203.64","11735","23.9","255","11301","96.3","23","20210208"
"ICICITECH"," 08-Feb-2021","255.5","260.0","259.76","62609","162.63","270","59089","94.38","153","20210208"
"EBBETF0431"," 08-Feb-2021","1006.47","1000.97","1002.95","30121","302.1","386","28352","94.13","284","20210208"
"NEOGEN"," 08-Feb-2021","705.1","709.1","707.76","117973","834.96","1892","110464","93.63","781","20210208"
"KSB"," 08-Feb-2021","658.55","662.7","666.28","65720","437.88","1518","59650","90.76","397","20210208"
"FAIRCHEMOR"," 08-Feb-2021","596.95","611.55","605.52","78695","476.51","735","71188","90.46","431","20210208"
"GESHIP"," 08-Feb-2021","261.85","255.95","256.82","847465","2176.49","10290","763381","90.08","1960","20210208"
"VTL"," 08-Feb-2021","1082.35","1066.55","1075.21","136595","1468.69","2746","122310","89.54","1315","20210208"
"APOLLOPIPE"," 08-Feb-2021","705.25","696.6","707.77","86919","615.19","1423","77470","89.13","548","20210208"
"VESUVIUS"," 08-Feb-2021","1057.85","1050.0","1048.79","39229","411.43","1530","34820","88.76","365","20210208"
"VSSL"," 08-Feb-2021","120.85","122.55","123.32","20105","24.79","304","17372","86.41","21","20210208"
"LUMAXIND"," 08-Feb-2021","1418.1","1410.15","1416.8","19350","274.15","2023","16617","85.88","235","20210208"
"TTKPRESTIG"," 08-Feb-2021","6064.6","6008.0","6013.23","18163","1092.18","2299","15563","85.69","935","20210208"
"APLAPOLLO"," 08-Feb-2021","927.75","963.1","953.32","1007964","9609.14","10543","860323","85.35","8201","20210208"
"SANOFI"," 08-Feb-2021","7839.3","7886.6","7889.84","19382","1529.21","1812","16409","84.66","1294","20210208"
"KOTAKNIFTY"," 08-Feb-2021","155.17","156.89","156.45","1158399","1812.31","1204","971703","83.88","1520","20210208"
"LIQUIDBEES"," 08-Feb-2021","1000.0","999.99","1000.0","1128474","11284.69","7618","944894","83.73","9448","20210208"
"ICICILIQ"," 08-Feb-2021","999.99","999.99","1000.0","23844","238.44","49","19956","83.69","199","20210208"
"ERIS"," 08-Feb-2021","577.7","585.2","586.25","289062","1694.62","4646","240510","83.2","1409","20210208"
"HITECHCORP"," 08-Feb-2021","114.4","119.95","119.11","16692","19.88","234","13873","83.11","16","20210208"
"CAMS"," 08-Feb-2021","1822.45","1853.5","1841.12","267384","4922.86","10702","221961","83.01","4086","20210208"
"IIFLWAM"," 08-Feb-2021","1130.5","1179.95","1177.21","174736","2057.01","8189","144824","82.88","1704","20210208"
"SAGCEM"," 08-Feb-2021","689.75","698.35","693.2","48517","336.32","1119","39721","81.87","275","20210208"
"SREEL"," 08-Feb-2021","145.9","145.35","145.65","50616","73.72","584","41205","81.41","60","20210208"
"RANEHOLDIN"," 08-Feb-2021","625.75","621.35","625.59","28260","176.79","1480","22980","81.32","143","20210208"
"ROSSARI"," 08-Feb-2021","888.25","905.1","900.3","334051","3007.47","6915","271350","81.23","2442","20210208"
"ICICIGI"," 08-Feb-2021","1467.75","1473.0","1474.1","727597","10725.5","36837","590332","81.13","8702","20210208"
"INFOBEAN"," 08-Feb-2021","138.9","139.65","139.13","16200","22.54","332","13121","80.99","18","20210208"
"AXISNIFTY"," 08-Feb-2021","153.76","155.91","156.18","14286","22.31","313","11514","80.6","17","20210208"
"SRIPIPES"," 08-Feb-2021","159.25","157.05","158.0","160317","253.3","1704","128964","80.44","203","20210208"
"NAM-INDIA"," 08-Feb-2021","330.35","331.1","333.23","1425072","4748.76","7780","1141413","80.1","3803","20210208"
"KENNAMET"," 08-Feb-2021","970.35","965.7","963.22","21159","203.81","1032","16935","80.04","163","20210208"
"RAMCOSYS"," 08-Feb-2021","639.35","640.45","641.36","208192","1335.26","4175","165941","79.71","1064","20210208"
"SANGHVIMOV"," 08-Feb-2021","109.65","116.95","114.67","73717","84.53","909","58537","79.41","67","20210208"
"ATGL"," 08-Feb-2021","382.05","382.7","383.76","968925","3718.3","9766","767389","79.2","2944","20210208"
"ECLERX"," 08-Feb-2021","1003.55","988.55","994.15","81653","811.76","3252","64046","78.44","636","20210208"
"LINCOLN"," 08-Feb-2021","218.3","216.2","218.2","160703","350.66","2491","124866","77.7","272","20210208"
"POWERINDIA"," 08-Feb-2021","1281.0","1315.0","1297.45","91962","1193.16","6321","71098","77.31","922","20210208"
"WHIRLPOOL"," 08-Feb-2021","2422.65","2374.75","2388.18","219314","5237.61","13106","169539","77.3","4048","20210208"
"XELPMOC"," 08-Feb-2021","282.6","296.7","295.01","44879","132.4","998","34587","77.07","102","20210208"
"FLUOROCHEM"," 08-Feb-2021","580.15","590.4","588.59","41032","241.51","1954","31426","76.59","184","20210208"
"SURYAROSNI"," 08-Feb-2021","332.0","323.45","324.38","198763","644.75","5683","150663","75.8","488","20210208"
"REPL"," 08-Feb-2021","171.5","169.9","172.21","31913","54.96","743","24090","75.49","41","20210208"
"CONTROLPR"," 08-Feb-2021","235.55","242.3","242.97","27116","65.89","839","20399","75.23","49","20210208"
