"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"HDFCBANK"," 03-May-2021","1412.3","1414.45","1398.07","11236850","157099.46","341238","5720050","50.9","79970"
"RELIANCE"," 03-May-2021","1994.5","1959.05","1958.46","10909942","213666.39","343806","3800598","34.84","74433"
"BAJFINANCE"," 03-May-2021","5451.9","5551.15","5450.95","4033591","219868.92","217761","878746","21.79","47900"
"INFY"," 03-May-2021","1354.35","1352.05","1350.88","4560337","61604.49","126788","2748838","60.28","37133"
"HDFC"," 03-May-2021","2420.1","2418.5","2401.4","2984938","71680.43","144750","1437363","48.15","34516"
"ICICIBANK"," 03-May-2021","600.5","596.75","592.4","18010557","106694.2","201108","5156764","28.63","30548"
"KOTAKBANK"," 03-May-2021","1748.8","1725.45","1721.78","5593869","96314.12","204900","1554612","27.79","26766"
"SBIN"," 03-May-2021","353.5","350.6","347.45","43691860","151805.52","313847","5977717","13.68","20769"
"TCS"," 03-May-2021","3035.65","3037.0","3035.65","1545831","46926.05","109575","636257","41.16","19314"
"AXISBANK"," 03-May-2021","714.9","702.75","700.77","13752878","96376.19","177816","2293568","16.68","16072"
"MARUTI"," 03-May-2021","6455.65","6597.85","6568.74","834923","54843.91","71917","162249","19.43","10657"
"APOLLOHOSP"," 03-May-2021","3197.5","3204.3","3178.72","728281","23149.99","35589","295224","40.54","9384"
"BAJAJFINSV"," 03-May-2021","11041.65","11041.7","10958.61","396931","43498.1","43658","61230","15.43","6709"
"M&M"," 03-May-2021","752.55","752.95","754.76","3749870","28302.44","91666","724010","19.31","5464"
"MOTHERSUMI"," 03-May-2021","214.7","215.7","216.55","8713281","18868.61","55741","2209270","25.36","4784"
"IDFCFIRSTB"," 03-May-2021","54.7","54.0","53.8","32646264","17564.24","56351","8101310","24.82","4358"
"JKCEMENT"," 03-May-2021","2806.4","2784.25","2796.07","140057","3916.1","6921","131482","93.88","3676"
"LALPATHLAB"," 03-May-2021","2932.7","2928.7","2929.25","227292","6657.96","18645","66282","29.16","1941"
"DMART"," 03-May-2021","2852.9","2898.65","2884.82","232238","6699.64","23884","65196","28.07","1880"
"TRENT"," 03-May-2021","776.7","783.05","775.71","841965","6531.2","20337","228583","27.15","1773"
"BATAINDIA"," 03-May-2021","1369.55","1348.1","1348.16","266065","3586.98","12064","77541","29.14","1045"
"RELAXO"," 03-May-2021","874.95","878.4","872.31","181064","1579.45","7443","119381","65.93","1041"
"METROPOLIS"," 03-May-2021","2395.05","2385.7","2404.3","24826","596.89","3215","7815","31.48","187"
"NH"," 03-May-2021","406.95","410.25","410.33","55281","226.83","2488","29150","52.73","119"
"RELIANCE"," 04-May-2021","1959.05","1916.6","1935.83","10083693","195203.3","325798","4435071","43.98","85855"
"HDFCBANK"," 04-May-2021","1414.45","1388.35","1403.8","10743164","150812.2","263951","4454875","41.47","62537"
"BAJFINANCE"," 04-May-2021","5551.15","5615.75","5670.74","4838347","274370.14","262578","912912","18.87","51768"
"HDFC"," 04-May-2021","2418.5","2377.2","2401.21","3135834","75297.87","161798","1714470","54.67","41168"
"INFY"," 04-May-2021","1352.05","1329.4","1339.98","4887060","65485.65","158010","2857619","58.47","38291"
"KOTAKBANK"," 04-May-2021","1725.45","1732.65","1745.27","4255151","74263.87","146566","1899690","44.64","33154"
"TCS"," 04-May-2021","3037.0","3049.75","3061.2","1990777","60941.68","94786","912440","45.83","27931"
"SBIN"," 04-May-2021","350.6","351.5","357.53","57749307","206470.2","342742","7751821","13.42","27715"
"ICICIBANK"," 04-May-2021","596.75","591.55","600.27","15115127","90731.15","170816","3728401","24.67","22380"
"AXISBANK"," 04-May-2021","702.75","700.35","710.29","11980155","85093.65","163128","3012155","25.14","21395"
"BAJAJFINSV"," 04-May-2021","11041.7","10986.45","11038.97","522101","57634.57","55521","111379","21.33","12295"
"M&M"," 04-May-2021","752.95","741.15","744.42","3820769","28442.47","128306","1493558","39.09","11118"
